Unnamed: 0.1,Unnamed: 0,Family,Name,Type,Maximum range,Interception altitude,Speed,Warhead,Introduction,Status,Ref
18,1,Nag (missile),Prospina,Third generation land-attack ATGM,4 km (2.5 mi),4 km (2.4 mi),Mach 0.9,Tandem-charge high-explosive anti-tank,2016,In service,[89]
19,2,Nag (missile),HeliNa/Dhruvastra,Air-launched ATGM,10 km (6.2 mi),4 km (2.4 mi),Mach 2,Tandem-charge high-explosive anti-tank,TBD,Being Inducted,[90]
20,3,Nag (missile),Stand off Anti-Tank missile,Standoff Air-launched ATGM,20 km (12 mi),20 km (12.4 mi),Mach 2.5,Tandem-charge high-explosive anti-tank,TBD,Development trials,[91]
21,4,Nag (missile),MPATGM,Man-portable anti-tank missile,2.5 km (1.6 mi),0.2 km (0.12 mi),Mach 0.8,Tandem-charge high-explosive anti-tank,TBD,Developmental trials,[92]
22,5,Amogha missile,Amogha-1,Second generation anti-tank guided missile,2.8 km (1.7 mi),18 km (11.18 mi),Mach 4,HEAT,TBD,Developmental trials,[93]
23,6,Amogha missile,Air-launched Amogha,Air-launched anti-tank missile,5 km (3.10 mi),3 km (1.86 mi),Mach 4.5,HEAT,TBD,Proposed,[94]
24,7,Amogha missile,Man portable Amogha,Man-portable anti-tank missile,40 km (24.85 mi),2.5 km (1.55 mi),Mach 2.5,HEAT,TBD,Proposed,[94]
25,8,SAMHO,SAMHO,Cannon launched ATGM,5 km (3.1 mi),1.5 km (0.93 mi),Mach 2,Tandem HEAT,TBD,Developmental trials,[95][96][97]
26,0,Prithvi (missile),Prithvi-I (SS-150),surface-to-surface tactical ballistic missile,150 km (93 mi),80 km (50 mi),Mach 1,Conventional or nuclear,1994,In service,[98]
27,1,Prithvi (missile),Prithvi-II (SS-250),surface-to-surface short range ballistic missile (SRBM),350 km (220 mi),80 km (50 mi),Mach 5,Conventional or nuclear,2003,In service,[99]
28,2,Prithvi (missile),Prithvi-III (SS-350),surface-to-surface short-range ballistic missile (SRBM),600 km (370 mi),150 km (93.2 mi),Mach 2.5,Conventional or nuclear,2004,In service,[100]
29,3,Prithvi (missile),Dhanush,surface-to-surface Anti-ship ballistic missile (ASBM),750 km (470 mi),80 km (50 mi),Mach 2.8,Conventional or nuclear,2018,In service,[101]
30,4,Agni (missile),Agni-I,surface-to-surface medium range ballistic missile (MRBM),1200 km (750 mi),300 km (186.4 mi),Mach 7.5,Conventional or nuclear,2002,In service,[102]
31,5,Agni (missile),Agni-P,surface-to-surface medium range ballistic missile (MRBM),2000 km (1240 mi),50 km (31 mi),Mach 22,Conventional or nuclear,2021-06-28 00:00:00,In development,[103]
32,6,Agni (missile),Agni-II,surface-to-surface medium range ballistic missile (MRBM),3500 km ( 2200 mi),230 km(142.9 mi),Mach 12,Conventional or nuclear,2010,In service,[104]
33,7,Agni (missile),Agni-III,surface-to-surface intermediate range ballistic missile (IRBM),5000 km (3100 mi),350 km(217.4 mi),Mach 5.5,Conventional or nuclear,2011,In service,[105]
34,8,Agni (missile),Agni-IV,surface-to-surface intermediate range ballistic missile (IRBM),4000 km (2500 mi),900 km(559.2 mi),Mach 7.5,Conventional or nuclear,2014,In service,[106]
35,9,Agni (missile),Agni-V,surface-to-surface intercontinental ballistic missile (ICBM),8000 km (5000 mi),600 km(372.8 mi),Mach 24,Conventional or nuclear,2018,In service,[107]
36,10,Agni (missile),Agni-VI,surface-to-surface intercontinental ballistic missile (ICBM),16000 km (9900 mi),12000  km (7456.4 mi),Mach 24,Conventional or nuclear,TBD,In development,[108]
37,11,Surya missile,Surya missile,surface-to-surface intercontinental ballistic missile (ICBM),16000 km (9900 mi),300 km (186.4 mi),Mach 27,Conventional or nuclear,Unknown,Unconfirmed,[109]
38,12,K missile family,K-15 (Sagarika),short range submarine launched ballistic missile (SR-SLBM),750 km (470 mi),15 km (9.3 mi),Mach 7.5,Conventional or nuclear,2018,In service,[110]
39,13,K missile family,K-4,medium range submarine launched ballistic missile (MR-SLBM),3500 km (2200 mi),80 km (50 mi),Mach 5,Conventional or nuclear,TBD,In service,[111]
40,14,K missile family,K-5,intermediate range submarine launched ballistic missile (IR-SLBM),"5000 km (3,100 mi)",80 km (50 mi),Mach 7.5,Conventional or nuclear,TBD,In development,[112]
41,15,K missile family,K-6,intercontinental submarine launched ballistic missile (IC-SLBM),8000 km (5000 mi),70 km (43.4 mi),,Conventional or nuclear,TBD,In development,[112]
42,16,Prahaar,Prahaar,surface-to-surface tactical ballistic missile,150 km (93 mi),35 km (21.74 mi),Mach 4,Conventional or nuclear,TBD,In trials,[113]
43,17,Prahaar,Pragati,surface-to-surface tactical ballistic missile,170 km (110 mi),30 km (18.6 mi),Mach 3,Conventional,Ã¢â‚¬â€(For export),In development,[114][115]
44,18,Prahaar,Pranash,surface-to-surface tactical ballistic missile,200 km (120 mi),80 km (50 mi),Mach 4,Conventional,TBD,In development,[116]
45,19,Pralay,Pralay,surface-to-surface short range ballistic missile (SRBM),500 km (310 mi),5 km (3.1 mi),Mach 6.1,Conventional,TBD,In development,[117]
